City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,walvis bay,-22.9575,14.5053,287.68,77,0,1.03,,1720031578
323,mala bilozerka,47.2474,34.9346,297.08,30,14,3.43,UA,1720031580
324,baotou,40.6522,109.8222,295.75,48,0,1.64,CN,1720031581
325,nova sintra,14.8667,-24.7167,298.64,86,99,7.68,CV,1720031583
326,nuku'alofa,-21.1333,-175.2,296.34,100,20,1.54,TO,1720031584
327,praia da vitoria,38.7333,-27.0667,296.29,64,40,3.53,PT,1720031585
328,island harbour,50.724,-1.2758,292.21,80,99,4.47,GB,1720031588
329,nadym,65.5333,72.5167,287.67,82,100,5.55,RU,1720031590
330,puerto madryn,-42.7692,-65.0385,282.01,45,29,11.73,AR,1720031386
331,dudinka,69.4058,86.1778,287.28,56,100,7.08,RU,1720031593
332,aldinga beach,-35.2793,138.4604,283.96,76,12,4.91,AU,1720031594
333,mount isa,-20.7333,139.5,282.02,53,0,4.12,AU,1720031595
334,acarau,-2.8856,-40.12,301.59,73,24,5.81,BR,1720031597
335,geraldton,-28.7667,114.6,283.38,71,0,3.6,AU,1720031598
336,mount gambier,-37.8333,140.7667,276.46,92,1,2.24,AU,1720031600
337,ribeira brava,32.65,-17.0667,297.43,80,4,3.03,PT,1720031601
338,new norfolk,-42.7826,147.0587,278.87,97,7,1.13,AU,1720031603
339,francistown,-21.17,27.5079,290.72,25,4,3.35,BW,1720031604
340,chinde,26.8418,88.0763,293.24,94,100,1.71,NP,1720031605
341,taroa,8.7058,171.2275,301.34,81,98,8.37,MH,1720031607
342,taro,-8.3862,115.28,295.15,100,99,0.76,ID,1720031608
343,boguchany,58.3814,97.4531,294.07,67,100,2.93,RU,1720031532
344,newman,37.3138,-121.0208,306.34,7,0,2.13,US,1720031611
345,jianshui,23.6363,102.8264,293.22,98,100,1.75,CN,1720031612
346,saint-joseph,-21.3667,55.6167,292.36,83,55,6.61,RE,1720031614
347,karaton,-6.3424,106.1045,296.18,97,90,0.75,ID,1720031615
348,urengoy,65.9667,78.3667,289.04,49,100,6.0,RU,1720031617
349,afaahiti,-17.75,-149.2833,298.08,79,33,9.8,PF,1720031618
350,coquimbo,-29.9533,-71.3436,293.14,50,0,5.14,CL,1720031620
351,manokwari,-0.8667,134.0833,298.48,78,43,1.74,ID,1720031621
352,guaratuba,-25.8828,-48.5747,305.4,64,83,1.72,BR,1720031568
353,ponta delgada,37.7333,-25.6667,295.55,68,75,5.14,PT,1720031624
354,paradip garh,20.3167,86.6167,301.07,85,100,4.73,IN,1720031625
355,challakere,14.3167,76.65,297.63,74,70,8.13,IN,1720031627
356,fraserburgh,57.6874,-2.0184,287.83,83,100,9.12,GB,1720031628
357,sangamner,19.5667,74.2167,298.85,80,100,4.12,IN,1720031629
358,luanco,43.6152,-5.7934,294.52,75,0,2.24,ES,1720031631
359,kenmore,47.7573,-122.244,294.45,67,0,0.89,US,1720031632
360,portage la prairie,49.9728,-98.2926,295.43,59,75,3.6,CA,1720031634
361,rongelap,11.1635,166.8941,301.53,70,74,7.84,MH,1720031635
